EmployeeId,Attrition,Department,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,Status,Edutxt,SalaryCategory
2,1.0,Research & Development,2,Medical,Female,2,Healthcare Representative,Married,4777,No,15,3,15,Inactive,College,Under 5000
3,1.0,Research & Development,4,Life Sciences,Male,1,Research Scientist,Married,2461,Yes,12,3,18,Inactive,Master,Under 5000
4,0.0,Sales,3,Marketing,Female,4,Sales Executive,Married,13525,No,14,3,23,Active,Bachelor,10000-14999
7,0.0,Sales,2,Medical,Male,2,Sales Executive,Married,7457,Yes,22,4,6,Active,College,5000-9999
8,1.0,Research & Development,3,Medical,Male,5,Manager,Married,19859,Yes,13,3,24,Inactive,Bachelor,Above 15000
9,0.0,Research & Development,1,Medical,Female,1,Laboratory Technician,Single,2153,No,13,3,8,Active,Below College,Under 5000
10,0.0,Research & Development,2,Life Sciences,Female,3,Research Director,Single,11159,No,15,3,10,Active,College,10000-14999
11,0.0,Sales,1,Marketing,Male,2,Sales Executive,Married,4256,No,12,3,5,Active,Below College,Under 5000
12,1.0,Research & Development,3,Technical Degree,Male,1,Laboratory Technician,Single,2973,No,19,3,1,Inactive,Bachelor,Under 5000
14,0.0,Research & Development,5,Life Sciences,Female,4,Research Director,Single,15992,No,14,3,16,Active,Doctor,Above 15000
15,0.0,Research & Development,3,Medical,Female,2,Healthcare Representative,Married,5855,Yes,11,3,10,Active,Bachelor,5000-9999
16,0.0,Research & Development,3,Medical,Female,2,Research Scientist,Divorced,5329,Yes,12,3,17,Active,Bachelor,5000-9999
17,0.0,Research & Development,4,Technical Degree,Female,2,Healthcare Representative,Single,4553,No,11,3,20,Active,Master,Under 5000
18,0.0,Research & Development,2,Medical,Male,5,Research Director,Married,19406,No,11,3,24,Active,College,Above 15000
20,0.0,Research & Development,2,Medical,Male,5,Manager,Married,18711,No,13,3,23,Active,College,Above 15000
21,0.0,Research & Development,3,Medical,Male,1,Research Scientist,Married,2725,Yes,11,3,6,Active,Bachelor,Under 5000
22,0.0,Research & Development,3,Life Sciences,Female,4,Manufacturing Director,Single,13237,No,15,3,22,Active,Bachelor,10000-14999
23,0.0,Sales,2,Life Sciences,Male,2,Sales Executive,Single,6230,No,14,3,16,Active,College,5000-9999
24,0.0,Sales,2,Technical Degree,Female,2,Sales Executive,Married,5228,Yes,11,3,13,Active,College,5000-9999
25,1.0,Research & Development,3,Medical,Male,1,Research Scientist,Married,2293,Yes,16,3,6,Inactive,Bachelor,Under 5000
28,0.0,Research & Development,4,Medical,Female,4,Manager,Divorced,17123,Yes,13,3,21,Active,Master,Above 15000
29,0.0,Human Resources,2,Medical,Male,1,Human Resources,Married,2267,No,17,3,7,Active,College,Under 5000
31,0.0,Research & Development,1,Life Sciences,Male,2,Healthcare Representative,Married,6586,Yes,17,3,17,Active,Below College,5000-9999
32,0.0,Research & Development,4,Life Sciences,Male,2,Laboratory Technician,Divorced,3491,No,13,3,10,Active,Master,Under 5000
33,0.0,Human Resources,3,Human Resources,Male,1,Human Resources,Married,2844,No,13,3,7,Active,Bachelor,Under 5000
34,1.0,Sales,3,Technical Degree,Male,1,Sales Representative,Married,2909,No,15,3,5,Inactive,Bachelor,Under 5000
35,0.0,Research & Development,4,Life Sciences,Male,1,Research Scientist,Divorced,2695,Yes,18,3,3,Active,Master,Under 5000
36,0.0,Sales,5,Medical,Female,2,Sales Executive,Single,6653,No,15,3,7,Active,Doctor,5000-9999
37,0.0,Research & Development,3,Medical,Male,2,Manufacturing Director,Married,6162,Yes,22,4,9,Active,Bachelor,5000-9999
39,0.0,Sales,3,Medical,Male,2,Sales Executive,Married,4221,No,15,3,5,Active,Bachelor,Under 5000
40,1.0,Sales,4,Life Sciences,Male,2,Sales Executive,Married,6172,Yes,18,3,12,Inactive,Master,5000-9999
41,0.0,Sales,4,Marketing,Male,1,Sales Representative,Married,3875,No,15,3,4,Active,Master,Under 5000
42,0.0,Research & Development,3,Medical,Male,3,Healthcare Representative,Divorced,9613,No,17,3,19,Active,Bachelor,5000-9999
43,0.0,Research & Development,3,Medical,Male,1,Laboratory Technician,Married,2426,No,13,3,6,Active,Bachelor,Under 5000
44,0.0,Sales,2,Life Sciences,Male,2,Sales Executive,Married,6524,No,14,3,10,Active,College,5000-9999
45,1.0,Research & Development,3,Medical,Male,1,Laboratory Technician,Divorced,2377,No,20,4,1,Inactive,Bachelor,Under 5000
46,0.0,Research & Development,3,Life Sciences,Male,2,Healthcare Representative,Married,4152,No,19,3,11,Active,Bachelor,Under 5000
49,0.0,Research & Development,3,Life Sciences,Male,3,Manufacturing Director,Single,9526,No,21,4,10,Active,Bachelor,5000-9999
50,0.0,Sales,1,Technical Degree,Male,1,Sales Representative,Single,3447,No,11,3,3,Active,Below College,Under 5000
51,0.0,Research & Development,3,Other,Male,3,Manufacturing Director,Single,10221,No,21,4,17,Active,Bachelor,10000-14999
54,0.0,Research & Development,3,Life Sciences,Female,2,Manufacturing Director,Divorced,6397,No,20,4,6,Active,Bachelor,5000-9999
55,1.0,Research & Development,3,Life Sciences,Male,1,Laboratory Technician,Married,3722,Yes,13,3,7,Inactive,Bachelor,Under 5000
57,0.0,Research & Development,3,Medical,Female,1,Laboratory Technician,Married,2370,No,13,3,8,Active,Bachelor,Under 5000
58,0.0,Sales,3,Marketing,Male,2,Sales Executive,Single,5396,No,12,3,10,Active,Bachelor,5000-9999
59,0.0,Research & Development,4,Life Sciences,Male,1,Research Scientist,Divorced,2768,No,12,3,14,Active,Master,Under 5000
60,0.0,Research & Development,4,Life Sciences,Female,3,Manager,Married,11878,No,11,3,12,Active,Master,10000-14999
61,0.0,Research & Development,2,Medical,Female,2,Manufacturing Director,Divorced,5070,No,13,3,20,Active,College,5000-9999
63,0.0,Research & Development,3,Life Sciences,Male,1,Laboratory Technician,Married,3833,No,21,4,7,Active,Bachelor,Under 5000
64,0.0,Research & Development,3,Medical,Female,1,Research Scientist,Married,3346,Yes,20,4,9,Active,Bachelor,Under 5000
65,1.0,Sales,4,Life Sciences,Male,3,Sales Executive,Married,10609,No,11,3,17,Inactive,Master,10000-14999
68,0.0,Research & Development,2,Life Sciences,Female,1,Laboratory Technician,Single,2288,No,12,3,2,Active,College,Under 5000
69,1.0,Sales,3,Marketing,Female,2,Sales Executive,Single,5346,No,13,3,7,Inactive,Bachelor,5000-9999
71,0.0,Research & Development,2,Medical,Female,4,Manufacturing Director,Married,13247,Yes,11,3,24,Active,College,10000-14999
73,0.0,Sales,5,Marketing,Female,2,Sales Executive,Divorced,5454,Yes,21,4,9,Active,Doctor,5000-9999
74,0.0,Research & Development,3,Life Sciences,Male,1,Research Scientist,Married,2177,No,17,3,7,Active,Bachelor,Under 5000
77,0.0,Research & Development,2,Medical,Female,2,Manufacturing Director,Divorced,5265,No,16,3,11,Active,College,5000-9999
78,0.0,Sales,3,Other,Male,2,Sales Executive,Married,4805,No,19,3,9,Active,Bachelor,Under 5000
81,1.0,Research & Development,1,Other,Female,1,Research Scientist,Single,2693,No,19,3,1,Inactive,Below College,Under 5000
82,0.0,Research & Development,3,Medical,Male,1,Research Scientist,Married,2819,No,16,3,5,Active,Bachelor,Under 5000
84,0.0,Sales,3,Marketing,Female,2,Sales Executive,Married,5940,No,14,3,16,Active,Bachelor,5000-9999
85,0.0,Research & Development,2,Technical Degree,Female,1,Research Scientist,Married,3376,No,13,3,10,Active,College,Under 5000
86,0.0,Research & Development,3,Medical,Male,3,Healthcare Representative,Divorced,10851,Yes,18,3,24,Active,Bachelor,10000-14999
